//One step checkout Module
//font end
"Already registered? Click here to login.", "J&aacute; &eacute; cadastrado? Clique aqui e fa&ccedil;a o login"
"Billing address", "Endere&ccedil;o de cobran&ccedil;a"
"Shipping address","Endere&ccedil;o de entrega"
"Shipping method", "Forma de envio"
"Payment method", "Forma de pagamento"
"Review your order", "Confira seu pedido"
"Create an account for later use", "Criar uma conta para uso futuro"
"Ship to same address", "Enviar para o mesmo endere&ccedil;o"
"ship to same address","enviar para o mesmo endere&ccedil;o"
"Are you sure you would like to remove this item from the shopping cart?","Remover este item do seu carrinho de compras?"
"Comments", "Coment&aacute;rios"
"Input your email and password here", "Digite seu email e senha aqui"
"Please login with your email address and password..", "Por favor fa&ccedil;a o login com seu email e senha"
"Loading...", "Carregando..."
"Invalid email or password!", "Email ou senha inv&aacute;lidos!"
"Invalid email!", "Email inv&aacute;lido!"
"Forgotten your password?", "Esqueceu sua senha?"
"Enter your email below and we'll send you a new password by email.", "Digite seu email abaixo e lhe enviaremos uma nova senha para seu email."
"We have now sent you a new password to your email address. Click the link below to return to login.", "Nos enviamos uma nova senha ao seu email. Clique no link abaixo para ir ao login."
"Back to Login", "Retornar ao login"
"Please select a shipping method for your order!", "Por favor escolha uma forma de envio para seu pedido!"
"Please select a payment method for your order!", "Por favor escolha uma forma de pagamento para seu pedido!"
"Delivery Time","Agendamento da entrega"
"As soon as possible","O quanto antes"
"Later","Mais tarde"
"Date:","Dia:"
"Time:","Hora:"
"Time Range","Hor&aacute;rio"
"I accept the","Eu aceito os"
"Terms And Conditions","Termos e Condi&ccedil;&otilde;es"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Cart","Atualizar carrinho"
//back end
"Customer Order Comment","Coment&aacute;rio do cliente no pedido"
"Delivery Date","Data de entrega"
"Delivery Date:","Data de entrega:"
"Delivery Time:","Hor&aacute;rio da entrega:"
"Customer Comment","Coment&aacute;rio do cliente"
"Enable Onestepcheckout:","Ativar Onestepcheckout:"
"Enable messages to Admin","Ativar mensagens ao Admin"
"Enable gift messages","Ativar mensagens para presente"
"Allow Quick Login","Permitir login expresso"
"Default Country","Pa&iacute;s padr&atilde;o"
"Default Shipping Method","Forma de envio padr&atilde;o"
"Default Payment Method","Forma de pagamento padr&atilde;o"
"Page Title","T&iacute;tulo da p&aacute;gina"
"Page Content","Conte&uacute;do da p&aacute;gina"
"Allow shipping to other address:","Permitir envio a outro endere&ccedil;o:"
"Allow Guest Customers checkout:","Permitir compras sem cadastro:"
"Allow Guest Customer registered:","Permitir visitante se registrar:"
"Enable order comment","Permitir coment&aacute;rios no pedido"
"Allow hide/show address fields","Permitir mostrar/esconder campos de endere&ccedil;o"
"Allow Terms And Conditions","Permitir Termos e Condi&ccedil;&otilde;es"
"Auto detect user country using GeoIP","Usar GeoIP para verificar pa&iacute;s do cliente"
"Content Terms And Conditions","Conte&uacute;do do Termos e Condi&ccedil;&otilde;es"
"Sort Address fields","Ordenar campos de endere&ccedil;o"
"Name","Nome"
"Author Information","Informa&ccedil;&atilde;o do Autor"
"Reload shipping methods when the customer","Recalcular frete quando cliente"
"Update Payment","Atualiza info de pagamento"
"Update Zipcode or Postalcode","Atualiza CEP"
"Update Region or State/Province ","Atualiza Estado"
"Update City","Atualiza Cidade"
"Qty","Qtde"
"Update country","Atualiza Pa&iacute;s"
"The onestepcheckout Extension is developed and supported by www.Mage-World.com. If you need any support or have any question please contact us at support@mage-world.com.","M&oacute;dulo original Mage-World, modificado sob licen&ccedil;a exclusiva por Moip.com"
"Disable feature sort and edit option field","Desativar a fun&ccedil;&atilde;o de organizar e editar o campo de op&ccedil;&atilde;o"
"disable feature Sort Address Fields and feature Edit Options Of Address Field and after restore first status of form input info","desativar recurso de classifica&ccedil;&atilde;o de endere&ccedil;os e op&ccedil;&otilde;es de edi&ccedil;&atilde;o de campo de endere&ccedil;o e depois restaurar o status da primeiro dado preenchido"
"Delivery Date","Agendamento da entrega"
"Allow Delivery Date","Permitir agendamento da entrega"
"Weekend Days","Finais de semana"
"National Days","Feriados nacionais"
"Additional Days","Dias adicionais"
"Time Range","Hor&aacute;rio"
"Start Time","In&iacute;cio"
"Add Time Range","Adicionar Hor&aacute;rio"
"Enter only weekend days with the format (mm/dd/yyyy), comma separated and no space","Apenas finais de semana no formato (dd/mm/yyyy), separado por virgula sem espa&ccedil;o"
"Enter off-shipping days with the format (mm/dd/yyyy), comma separated and no spaces","Entre dias n&atilde;o &uacute;teis no formato (dd/mm/yyyy), separado por virgula sem espa&ccedil;o"
//product view
"Add Time Range with the format 24h (h:m), ex. 7:30","Adicione o hor&aacute;rio no formato 24h (h:m), ex. 7:30"

